SessionStart,CustomerID,FullName,Gender,Age,CreditScore,MonthlyIncome,Country,State,City,Category,Product,Cost,Price,Quantity,CampaignSchema ,CartAdditionTime,OrderConfirmation,OrderConfirmationTime,PaymentMethod,SessionEnd,OrderReturn,ReturnReason
2019-01-01 02:42:00,1001,Brittany Franklin,Male,57,780,7591,China,Guangdong,Dongguan,electronics,table fan,30,50,4,Instagram-ads,2019-01-01 02:49:00,True,2019-01-01 03:02:00,Cash On Delivery,2019-01-01 02:53:00,False,
2019-01-02 20:35:00,1002,Scott Stewart,Female,69,746,3912,China,Shandong,Yantai,fashion,dress,50,80,6,Google-ads,2019-01-02 20:50:00,True,2019-01-02 20:58:00,Debit Card,2019-01-02 20:54:00,False,
2019-01-04 03:11:00,1003,Elizabeth Fowler,Female,21,772,7460,UK,England,Birmingham,toys,plush toy,12,20,2,Facebook-ads,2019-01-04 03:30:00,True,2019-01-04 03:40:00,Cash On Delivery,2019-01-04 03:35:00,False,
2019-01-05 09:01:00,1004,Julian Wall,Female,67,631,4765,UK,England,Birmingham,toys,plush toy,12,20,2,Twitter-ads,2019-01-05 09:17:00,True,2019-01-05 09:26:00,Cash On Delivery,2019-01-05 09:20:00,False,
2019-01-05 13:35:00,1005,James Simmons,Male,57,630,3268,China,Shandong,Yantai,fashion,shoes,60,100,6,Billboard-QR code,2019-01-05 13:40:00,True,2019-01-05 13:52:00,Debit Card,2019-01-05 13:42:00,False,
2019-01-06 21:39:00,1006,Annette Atkins,Female,36,660,5350,India,Maharashtra,Nagpur,fashion,jeans,40,70,1,Instagram-ads,2019-01-06 21:56:00,True,2019-01-06 22:06:00,Credit Card,2019-01-06 21:59:00,False,
2019-01-08 22:53:00,1007,Martha Smith,Female,47,606,3972,UK,Scotland,Edinburgh,home appliances,microwave oven,300,500,1,Google-ads,2019-01-08 23:07:00,True,2019-01-08 23:20:00,Credit Card,2019-01-08 23:12:00,True,Arrived Damaged
2019-01-09 01:48:00,1008,Kristina Ramirez,Female,45,627,7455,India,Maharashtra,Mumbai,books,autobiography,20,35,3,Facebook-ads,2019-01-09 01:53:00,True,2019-01-09 02:08:00,Debit Card,2019-01-09 01:58:00,False,
2019-01-09 16:29:00,1009,Justin Hardin,Male,59,609,3003,Spain,Catalonia,Barcelona,fashion,dress,50,80,1,Billboard-QR code,2019-01-09 16:47:00,True,2019-01-09 16:58:00,Cash On Delivery,2019-01-09 16:52:00,True,Poor Value
2019-01-10 13:12:00,1010,Jason Rivera,Male,25,755,4722,UK,England,Birmingham,home appliances,electric stove,250,400,4,Google-ads,2019-01-10 13:35:00,False,,,2019-01-10 13:44:00,,
2019-01-13 15:41:00,1011,Zachary Roberts,Male,60,634,6753,USA,California,San Jose,fashion,dress,50,80,1,Billboard-QR code,2019-01-13 16:08:00,True,2019-01-13 16:16:00,Cash On Delivery,2019-01-13 16:12:00,True,Wrong Item
2019-01-15 02:29:00,1012,Matthew Snyder,Male,57,700,4148,China,Shandong,Yantai,books,novel,10,18,3,Instagram-ads,2019-01-15 02:35:00,True,2019-01-15 02:46:00,Debit Card,2019-01-15 02:40:00,False,
2019-01-16 06:42:00,1013,Jean Richardson,Female,46,659,4287,Japan,Kanagawa,Sagamihara,electronics,table fan,30,50,1,Billboard-QR code,2019-01-16 06:56:00,True,2019-01-16 07:09:00,Credit Card,2019-01-16 07:01:00,False,
2019-01-16 18:37:00,1014,Karen Austin,Male,18,629,4800,Australia,New South Wales,Wollongong,home appliances,mixer grinder,60,90,2,Twitter-ads,2019-01-16 19:03:00,True,2019-01-16 19:15:00,Cash On Delivery,2019-01-16 19:07:00,False,
2019-01-18 13:25:00,1015,Jacob Taylor,Female,22,735,4469,China,Shandong,Yantai,fashion,jeans,40,70,1,Billboard-QR code,2019-01-18 13:48:00,True,2019-01-18 14:00:00,Cash On Delivery,2019-01-18 13:51:00,True,Arrived Late
2019-01-19 04:33:00,1016,Anna Orozco,Female,58,632,7347,China,Shandong,Qingdao,home appliances,mixer grinder,60,90,6,E-mails,2019-01-19 04:57:00,False,,,2019-01-19 05:06:00,,
2019-01-20 02:15:00,1017,Michael Camacho,Female,55,722,6449,China,Guangdong,Dongguan,home appliances,electric stove,250,400,4,Facebook-ads,2019-01-20 02:45:00,True,2019-01-20 02:51:00,Cash On Delivery,2019-01-20 02:48:00,False,
2019-01-21 16:19:00,1018,Daniel Gordon,Female,69,767,6956,India,Maharashtra,Pune,books,novel,10,18,4,E-mails,2019-01-21 16:36:00,True,2019-01-21 16:51:00,Credit Card,2019-01-21 16:39:00,False,
2019-01-22 21:04:00,1019,Jeffrey Burns,Male,22,759,3895,Italy,Lombardy,Brescia,fashion,dress,50,80,6,E-mails,2019-01-22 21:11:00,True,2019-01-22 21:26:00,Debit Card,2019-01-22 21:13:00,False,
2019-01-23 17:08:00,1020,Sarah Roman,Male,36,709,4801,USA,Texas,San Antonio,books,textbook,30,50,2,Facebook-ads,2019-01-23 17:15:00,True,2019-01-23 17:26:00,Debit Card,2019-01-23 17:19:00,False,
2019-01-23 18:37:00,1021,Molly Villa,Male,48,741,7507,Italy,Lazio,Frosinone,fashion,t-shirt,15,25,5,Instagram-ads,2019-01-23 18:45:00,True,2019-01-23 18:56:00,Credit Card,2019-01-23 18:47:00,False,
2019-01-24 00:09:00,1022,Carlos Dawson,Male,26,692,6094,UK,Scotland,Edinburgh,books,autobiography,20,35,6,Facebook-ads,2019-01-24 00:34:00,False,,,2019-01-24 00:18:00,,
2019-01-27 15:00:00,1023,Gregory Reyes,Male,64,625,7056,USA,Texas,Dallas,fashion,t-shirt,15,25,2,Instagram-ads,2019-01-27 15:25:00,True,2019-01-27 15:34:00,Debit Card,2019-01-27 15:28:00,False,
2019-01-29 01:19:00,1024,Andrea Faulkner,Male,22,681,5478,China,Guangdong,Shenzhen,fashion,shoes,60,100,5,E-mails,2019-01-29 01:49:00,True,2019-01-29 01:56:00,Debit Card,2019-01-29 01:54:00,False,
2019-01-30 13:56:00,1025,Jessica Stewart,Female,69,640,3757,Japan,Kanagawa,Kawasaki,toys,action figure,8,15,5,Facebook-ads,2019-01-30 14:20:00,True,2019-01-30 14:25:00,Debit Card,2019-01-30 14:22:00,False,
2019-02-02 01:10:00,1026,Shaun Jennings,Male,32,693,4361,China,Guangdong,Shenzhen,books,textbook,30,50,6,Google-ads,2019-02-02 01:27:00,False,,,2019-02-02 01:16:00,,
2019-02-03 04:33:00,1027,Tonya Phillips,Male,71,714,5622,China,Guangdong,Shenzhen,home appliances,microwave oven,300,500,3,Instagram-ads,2019-02-03 04:39:00,True,2019-02-03 04:47:00,Debit Card,2019-02-03 04:44:00,False,
2019-02-04 12:06:00,1028,Tina Atkins,Female,31,686,7190,UK,England,Birmingham,electronics,laptop,800,1200,4,Google-ads,2019-02-04 12:16:00,True,2019-02-04 12:26:00,Cash On Delivery,2019-02-04 12:20:00,False,
2019-02-05 05:58:00,1029,Sean Murphy,Female,22,778,4562,USA,California,San Diego,home appliances,toaster,40,60,3,Twitter-ads,2019-02-05 06:17:00,True,2019-02-05 06:27:00,Cash On Delivery,2019-02-05 06:19:00,False,
2019-02-06 00:51:00,1030,Desiree Figueroa,Female,39,695,7413,UK,Scotland,Edinburgh,toys,action figure,8,15,3,E-mails,2019-02-06 01:01:00,True,2019-02-06 01:07:00,Debit Card,2019-02-06 01:06:00,False,
2019-02-06 13:56:00,1031,Traci Oneill,Male,20,759,5850,China,Shandong,Yantai,toys,puzzle,15,25,6,Billboard-QR code,2019-02-06 14:21:00,True,2019-02-06 14:27:00,Debit Card,2019-02-06 14:24:00,False,
2019-02-06 18:24:00,1032,Steven Johnson,Female,66,737,7470,Canada,Ontario,Mississauga,electronics,laptop,800,1200,5,Google-ads,2019-02-06 18:34:00,True,2019-02-06 18:45:00,Debit Card,2019-02-06 18:37:00,False,
2019-02-07 10:52:00,1033,Deborah Contreras,Male,48,656,7164,Canada,Ontario,Toronto,books,autobiography,20,35,4,Billboard-QR code,2019-02-07 11:13:00,True,2019-02-07 11:25:00,Credit Card,2019-02-07 11:16:00,False,
2019-02-07 15:09:00,1034,Jonathan Smith,Male,64,718,3086,Spain,Andalusia,Granada,home appliances,mixer grinder,60,90,3,Twitter-ads,2019-02-07 15:28:00,True,2019-02-07 15:35:00,Debit Card,2019-02-07 15:32:00,False,
2019-02-08 01:40:00,1035,Jason Powell,Female,40,727,6789,Spain,Catalonia,Barcelona,home appliances,electric stove,250,400,6,Google-ads,2019-02-08 01:53:00,True,2019-02-08 02:08:00,Paypal,2019-02-08 01:56:00,False,
2019-02-10 03:51:00,1036,Grant Forbes,Female,30,628,4062,India,Maharashtra,Pune,fashion,shoes,60,100,1,Instagram-ads,2019-02-10 04:04:00,False,,,2019-02-10 04:06:00,,
2019-02-10 17:01:00,1037,James Austin,Male,69,728,7626,Japan,Tokyo,Yokohama,toys,board game,20,35,4,Instagram-ads,2019-02-10 17:26:00,True,2019-02-10 17:35:00,Debit Card,2019-02-10 17:29:00,False,
2019-02-10 20:52:00,1038,Joseph Frye,Female,60,742,4969,Canada,Quebec,Laval,books,autobiography,20,35,4,Twitter-ads,2019-02-10 21:01:00,True,2019-02-10 21:06:00,Debit Card,2019-02-10 21:03:00,True,Poor Value
2019-02-11 04:44:00,1039,John Anderson,Male,70,645,5642,Spain,Andalusia,Seville,toys,action figure,8,15,2,Billboard-QR code,2019-02-11 05:09:00,True,2019-02-11 05:16:00,Debit Card,2019-02-11 05:14:00,False,
2019-02-13 11:45:00,1040,Cynthia Thomas,Male,35,619,6399,UK,Scotland,Edinburgh,fashion,t-shirt,15,25,4,Twitter-ads,2019-02-13 12:04:00,True,2019-02-13 12:16:00,Credit Card,2019-02-13 12:09:00,False,
2019-02-16 14:20:00,1041,Mary Morris,Female,52,638,7623,India,Maharashtra,Mumbai,books,magazine,5,8,4,Google-ads,2019-02-16 14:41:00,True,2019-02-16 14:49:00,Cash On Delivery,2019-02-16 14:45:00,False,
2019-02-16 14:23:00,1042,Jessica Gross,Female,46,673,4085,Spain,Catalonia,Tarragona,home appliances,mixer grinder,60,90,4,Instagram-ads,2019-02-16 14:30:00,True,2019-02-16 14:39:00,Credit Card,2019-02-16 14:35:00,False,
2019-02-16 20:36:00,1043,James Best,Male,27,722,3368,China,Shandong,Yantai,home appliances,electric stove,250,400,6,Billboard-QR code,2019-02-16 20:41:00,True,2019-02-16 20:49:00,Paypal,2019-02-16 20:44:00,True,Poor Quality
2019-02-19 01:52:00,1044,Kyle Hill,Male,65,653,3611,India,Uttar Pradesh,Kanpur,books,magazine,5,8,5,E-mails,2019-02-19 01:58:00,True,2019-02-19 02:12:00,Debit Card,2019-02-19 02:03:00,True,Poor Quality
2019-02-19 17:04:00,1045,Tami Alexander,Female,60,718,6745,India,Maharashtra,Nagpur,toys,board game,20,35,5,E-mails,2019-02-19 17:19:00,True,2019-02-19 17:27:00,Debit Card,2019-02-19 17:21:00,False,
2019-02-22 01:19:00,1046,Justin Jackson,Female,23,705,3112,Spain,Andalusia,Granada,electronics,television,1000,1500,6,Facebook-ads,2019-02-22 01:25:00,True,2019-02-22 01:36:00,Debit Card,2019-02-22 01:29:00,False,
2019-02-22 08:56:00,1047,Monica Oneill,Female,46,648,3612,China,Shandong,Qingdao,toys,board game,20,35,1,Google-ads,2019-02-22 09:12:00,True,2019-02-22 09:22:00,Cash On Delivery,2019-02-22 09:14:00,False,
2019-02-22 14:07:00,1048,Jonathan Mills,Male,40,701,7364,Japan,Kanagawa,Yokohama,fashion,jeans,40,70,4,Facebook-ads,2019-02-22 14:34:00,True,2019-02-22 14:47:00,Paypal,2019-02-22 14:38:00,False,
2019-02-24 07:43:00,1049,Michael White,Female,38,703,3210,Spain,Andalusia,Seville,home appliances,electric stove,250,400,2,Google-ads,2019-02-24 07:58:00,False,,,2019-02-24 08:22:00,,
2019-02-24 13:11:00,1050,Cynthia Roberts,Female,63,624,7870,Australia,New South Wales,Newcastle,home appliances,toaster,40,60,1,E-mails,2019-02-24 13:28:00,True,2019-02-24 13:38:00,Cash On Delivery,2019-02-24 13:30:00,False,
2019-02-25 10:59:00,1051,Roy Dominguez,Male,49,773,7570,India,Uttar Pradesh,Kanpur,books,textbook,30,50,1,Instagram-ads,2019-02-25 11:07:00,True,2019-02-25 11:19:00,Cash On Delivery,2019-02-25 11:09:00,False,
2019-02-26 01:15:00,1052,Anthony Petty,Male,38,772,3838,Canada,Quebec,Montreal,toys,plush toy,12,20,5,Facebook-ads,2019-02-26 01:33:00,True,2019-02-26 01:38:00,Debit Card,2019-02-26 01:35:00,True,Wrong Item
2019-02-26 02:21:00,1053,Paul Johnson,Female,42,758,5898,USA,California,San Diego,toys,puzzle,15,25,3,Instagram-ads,2019-02-26 02:44:00,False,,,2019-02-26 03:01:00,,
2019-02-26 21:12:00,1054,Logan Green,Male,25,739,3085,Australia,New South Wales,Newcastle,toys,action figure,8,15,4,E-mails,2019-02-26 21:33:00,True,2019-02-26 21:40:00,Credit Card,2019-02-26 21:36:00,False,
2019-02-28 01:40:00,1055,Melissa Gutierrez,Male,50,775,4163,Australia,New South Wales,Wollongong,electronics,laptop,800,1200,2,Instagram-ads,2019-02-28 02:07:00,True,2019-02-28 02:12:00,Debit Card,2019-02-28 02:10:00,False,
2019-03-02 20:55:00,1056,Danielle Hamilton,Male,58,602,4709,UK,Scotland,Edinburgh,fashion,t-shirt,15,25,4,Facebook-ads,2019-03-02 21:22:00,True,2019-03-02 21:37:00,Cash On Delivery,2019-03-02 21:27:00,False,
2019-03-03 12:59:00,1057,Victoria Mccullough,Female,65,764,5070,Canada,Ontario,Ottawa,home appliances,mixer grinder,60,90,1,Google-ads,2019-03-03 13:16:00,False,,,2019-03-03 13:16:00,,
2019-03-03 15:24:00,1058,Melissa Perry,Male,54,604,6666,Italy,Lazio,Latina,toys,puzzle,15,25,3,Billboard-QR code,2019-03-03 15:34:00,True,2019-03-03 15:42:00,Credit Card,2019-03-03 15:38:00,False,
2019-03-05 13:56:00,1059,Madison Wong,Male,33,760,6188,China,Shandong,Jinan,fashion,shoes,60,100,3,Facebook-ads,2019-03-05 14:03:00,True,2019-03-05 14:08:00,Debit Card,2019-03-05 14:06:00,False,
2019-03-05 23:56:00,1060,Laura Bowman,Female,27,747,3489,Italy,Lombardy,Milan,electronics,television,1000,1500,2,Instagram-ads,2019-03-06 00:20:00,True,2019-03-06 00:35:00,Debit Card,2019-03-06 00:22:00,False,
2019-03-06 06:33:00,1061,Harold Perez,Male,67,633,7045,Canada,Quebec,Montreal,home appliances,electric stove,250,400,6,Google-ads,2019-03-06 07:02:00,True,2019-03-06 07:11:00,Paypal,2019-03-06 07:07:00,False,
2019-03-06 09:01:00,1062,Karen Torres,Female,68,698,3498,Spain,Andalusia,Seville,toys,plush toy,12,20,2,Instagram-ads,2019-03-06 09:11:00,True,2019-03-06 09:20:00,Cash On Delivery,2019-03-06 09:13:00,False,
2019-03-08 23:31:00,1063,James Coleman,Male,34,624,5988,Australia,Victoria,Ballarat,toys,board game,20,35,4,Twitter-ads,2019-03-08 23:57:00,True,2019-03-09 00:03:00,Debit Card,2019-03-09 00:02:00,False,
2019-03-10 01:00:00,1064,Kim Dawson,Female,49,607,7068,Australia,Victoria,Geelong,fashion,shoes,60,100,5,Billboard-QR code,2019-03-10 01:27:00,False,,,2019-03-10 01:33:00,,
2019-03-10 23:22:00,1065,Amy Lucas,Female,48,630,3042,Japan,Kanagawa,Yokohama,books,autobiography,20,35,4,Google-ads,2019-03-10 23:39:00,True,2019-03-10 23:48:00,Cash On Delivery,2019-03-10 23:43:00,False,
2019-03-12 17:11:00,1066,Samantha Brooks,Female,47,630,6615,Japan,Tokyo,Yokohama,fashion,dress,50,80,5,Google-ads,2019-03-12 17:37:00,True,2019-03-12 17:47:00,Debit Card,2019-03-12 17:41:00,False,
2019-03-13 03:20:00,1067,David Holmes,Female,25,623,6209,Japan,Tokyo,Tokyo,fashion,jeans,40,70,2,Google-ads,2019-03-13 03:38:00,False,,,2019-03-13 03:40:00,,
2019-03-13 12:40:00,1068,Julie Baldwin,Female,34,699,3843,China,Guangdong,Dongguan,home appliances,electric stove,250,400,6,Billboard-QR code,2019-03-13 12:52:00,True,2019-03-13 13:06:00,Credit Card,2019-03-13 12:57:00,False,
2019-03-14 14:43:00,1069,Seth Shelton,Male,62,754,5940,India,Maharashtra,Mumbai,books,novel,10,18,6,Instagram-ads,2019-03-14 14:59:00,True,2019-03-14 15:14:00,Cash On Delivery,2019-03-14 15:02:00,False,
2019-03-15 13:39:00,1070,Tyler Villarreal,Female,22,755,6060,India,Maharashtra,Nagpur,toys,board game,20,35,6,Billboard-QR code,2019-03-15 14:02:00,True,2019-03-15 14:16:00,Paypal,2019-03-15 14:04:00,True,Wrong Item
2019-03-18 05:54:00,1071,Julie Morgan,Female,66,715,7348,Japan,Tokyo,Tokyo,home appliances,electric stove,250,400,4,Facebook-ads,2019-03-18 06:22:00,True,2019-03-18 06:37:00,Debit Card,2019-03-18 06:27:00,False,
2019-03-20 01:19:00,1072,Wayne Reid,Female,61,607,6496,India,Maharashtra,Pune,home appliances,microwave oven,300,500,3,E-mails,2019-03-20 01:33:00,True,2019-03-20 01:47:00,Cash On Delivery,2019-03-20 01:35:00,False,
2019-03-20 20:23:00,1073,Kathryn Brown,Male,23,651,5262,Italy,Lombardy,Bergamo,home appliances,microwave oven,300,500,5,Facebook-ads,2019-03-20 20:29:00,True,2019-03-20 20:34:00,Debit Card,2019-03-20 20:32:00,False,
2019-03-20 21:52:00,1074,Crystal Jones,Male,65,760,4541,India,Maharashtra,Nagpur,toys,board game,20,35,2,Instagram-ads,2019-03-20 22:04:00,True,2019-03-20 22:19:00,Credit Card,2019-03-20 22:09:00,False,
2019-03-21 02:30:00,1075,Taylor Patterson,Male,72,602,5576,Canada,Ontario,Mississauga,toys,action figure,8,15,4,Billboard-QR code,2019-03-21 02:57:00,True,2019-03-21 03:05:00,Debit Card,2019-03-21 02:59:00,False,
2019-03-21 12:24:00,1076,Tanya Bell,Female,28,747,6895,UK,Scotland,Edinburgh,books,autobiography,20,35,1,Twitter-ads,2019-03-21 12:52:00,True,2019-03-21 13:03:00,Debit Card,2019-03-21 12:57:00,False,
